TagID	Timestamp	accX	accY	accZ	gyroX	gyroY	gyroZ	compX	compY	compZ	Activity	Pressure	Temp. (?C)
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.000	0.0930	-0.0959	0.9854	0.0305	-4.2801	-3.1738	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.100	0.0603	-0.0959	0.9951	11.3373	12.9852	-6.8893	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.200	0.0728	-0.0771	1.0696	8.8654	3.1281	-2.9678	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.300	0.0796	-0.0789	0.9810	-0.9079	-6.3477	1.3733	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.400	0.0596	-0.0942	0.9902	2.5711	-3.7384	1.7014	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.500	0.0396	-0.1096	0.9995	6.0577	-1.1215	2.0294	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.600	0.0344	-0.1201	1.0830	-3.6926	2.2278	1.0605	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.700	0.1118	-0.0544	1.0405	-4.8370	-5.9433	-0.6104	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.800	0.1299	-0.0762	0.9460	-12.5351	2.8458	5.4398	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:18.900	0.0955	-0.1274	1.0083	-12.9395	2.3499	6.6833	50.2080	-0.2919	24.8121	Active	-11910.6298690521	-397.7
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.000	0.0776	-0.1553	0.9810	-6.0654	-3.9139	5.6534	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.100	0.0520	-0.1499	0.9927	-4.5166	0.5035	1.8692	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.200	0.0789	-0.1721	0.9656	-1.6022	0.2747	-2.8381	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.300	0.0852	-0.1619	0.9897	1.8539	1.2970	-4.7073	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.400	0.0735	-0.1726	0.9971	3.4790	0.7553	-4.8370	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.500	0.0940	-0.1475	1.0261	5.3482	-1.1673	-6.7902	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.600	0.0999	-0.1377	1.0161	3.0289	-1.1215	-6.3477	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.700	0.1003	-0.1426	0.9973	0.7782	0.7095	-4.9286	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.800	0.1216	-0.1453	0.9688	4.5242	0.5341	-6.8436	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:19.900	0.0930	-0.1003	1.0488	2.0142	5.8975	-7.9422	49.7702	0.1460	24.3743	Inactive	1030.21381418891	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.000	0.0952	-0.1265	1.0110	-0.7172	2.2125	-6.6757	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.100	0.1023	-0.1511	0.9966	-2.6169	2.3804	-4.7226	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.200	0.1042	-0.1409	1.0010	-1.5945	2.3193	-3.7460	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.300	0.0972	-0.1453	0.9805	0.1373	-0.5035	-2.1744	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.400	0.0859	-0.1367	1.0139	0.3967	0.3662	-2.4033	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.500	0.0957	-0.1536	1.0110	-0.1373	2.3041	-1.9760	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.600	0.0974	-0.1606	0.9980	-0.8469	4.1504	-1.2741	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.700	0.0793	-0.1497	1.0002	-0.1526	5.1117	-1.7395	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.800	0.0571	-0.1584	0.9995	-2.0370	6.9046	-2.2049	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:20.900	0.0540	-0.1665	1.0022	0.6561	3.9749	-3.4485	51.6676	0.0000	23.9364	Inactive	1028.62127176998	28.47
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.000	0.0603	-0.1602	0.9912	0.2747	2.4796	-5.2338	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.100	0.0781	-0.1602	1.0068	1.7166	3.0289	-4.8141	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.200	0.0627	-0.1472	1.0195	1.6098	2.0523	-3.3112	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.300	0.0591	-0.1536	0.9851	0.2823	-1.0681	-3.6087	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.400	0.0576	-0.1636	0.9897	2.2812	1.2970	-3.9139	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.500	0.0679	-0.1477	1.0154	2.6932	1.8082	-4.6234	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.600	0.0642	-0.1436	1.0002	2.2888	0.6256	-4.2953	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.700	0.0703	-0.1409	1.0017	2.3422	1.1139	-3.6774	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.800	0.0874	-0.1250	1.0186	2.3575	1.2207	-2.7390	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:21.900	0.0537	-0.1379	1.0115	0.7706	1.2894	0.3891	50.6459	1.0217	22.9147	Inactive	1030.63731706811	28.51
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.000	0.0586	-0.1428	0.9917	0.3204	0.1526	-1.9608	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.100	0.0649	-0.1323	1.0232	1.0757	2.4414	-2.7313	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.200	0.0554	-0.1433	1.0244	-1.1520	2.1515	-1.8082	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.300	0.0771	-0.1392	0.9949	-0.8698	0.0153	-2.9449	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.400	0.0574	-0.1284	1.0225	-1.6251	3.0060	-1.1902	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.500	0.0417	-0.1560	0.9937	-2.2659	1.5259	-0.6790	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.600	0.0659	-0.1423	0.9954	-1.1597	0.8621	-4.6387	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.700	0.0554	-0.1531	1.0071	-0.1755	2.2049	-3.8223	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.800	0.0544	-0.1702	1.0002	-0.1602	1.8005	-3.6774	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:22.900	0.0583	-0.1633	1.0042	-0.2060	2.0142	-3.8376	50.4999	1.4595	24.8121	Inactive	1026.39683741478	28.52
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.000	0.0559	-0.1533	1.0076	1.7548	1.6327	-3.1967	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.100	0.0432	-0.1648	1.0098	0.7248	2.6169	-2.0142	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.200	0.0452	-0.1697	1.0095	-0.2594	2.7847	-2.5330	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.300	0.0522	-0.1733	1.0044	-0.0381	1.5182	-3.1357	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.400	0.0566	-0.1646	1.0090	-0.9384	1.5259	-2.7618	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.500	0.0374	-0.1724	0.9968	-1.5869	1.3657	-1.3809	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.600	0.0457	-0.1667	0.9995	-1.3657	1.7548	-2.7542	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.700	0.0535	-0.1714	0.9873	2.0447	0.3967	-3.1357	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.800	0.0266	-0.1753	1.0049	2.6093	3.1662	-1.2436	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:23.900	0.0210	-0.1702	1.0059	2.0065	2.2354	-3.7079	51.5216	2.4812	22.9147	Inactive	1033.02341670016	28.54
02 agmdB_290523_calib_S2	29/05/2023 16:17:24.000	0.0652	-0.1506	1.0005	2.4261	-2.7161	-7.6141	51.0838	2.6272	23.0607	Inactive	1025.73487734615	28.58
02 agmdB_290523_calib_S2	29/05/2023 16:17:24.100	0.0437	-0.1487	1.0339	1.5564	-3.0594	-5.6763	51.0838	2.6272	23.0607	Inactive	1025.73487734615	28.58
